Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag,Age,City,ZipCode,State
Bachelors,Professional,M,M,Yes,0,0,2,137947,89,No,58,Cleveland,44101,Ohio
Bachelors,Professional,M,S,No,1,3,3,101141,117,Yes,59,Seattle,98101,Washington
Bachelors,Professional,M,M,Yes,1,3,3,91945,123,No,59,Omaha,68101,Nebraska
Bachelors,Professional,F,S,No,1,0,0,86688,50,No,56,Fort Worth,76101,Texas
Bachelors,Professional,F,S,Yes,4,5,5,92771,95,Yes,56,Oakland,94601,California
Bachelors,Professional,M,S,Yes,1,0,0,103199,78,Yes,59,Corpus Christi,78401,Texas
Bachelors,Professional,F,S,Yes,1,0,0,84756,54,Yes,59,Chula Vista,91910,California
Bachelors,Professional,M,M,Yes,2,3,3,109759,130,Yes,60,Anaheim,92801,California
Bachelors,Professional,F,S,Yes,3,4,4,88005,85,Yes,60,Sacramento,94203,California
Bachelors,Professional,M,S,No,1,0,0,106399,74,No,60,Chula Vista,91910,California
Bachelors,Professional,F,S,No,1,0,0,81294,49,No,60,Corpus Christi,78401,Texas
Bachelors,Professional,M,M,Yes,4,4,4,94029,146,Yes,61,Philadelphia,19101,Pennsylvania
Bachelors,Management,F,M,Yes,2,0,2,99245,55,Yes,57,Long Beach,90801,California
Bachelors,Management,M,M,Yes,3,0,2,115859,84,No,56,Atlanta,30301,Georgia
Bachelors,Management,F,S,No,3,0,3,105157,49,No,56,Oakland,94601,California
Partial College,Skilled Manual,F,S,No,1,0,0,40011,39,No,45,Toledo,43601,Ohio
Partial College,Skilled Manual,M,M,Yes,1,0,0,46808,68,No,45,Boston,2101,Massachusetts
High School,Skilled Manual,M,S,No,2,0,0,49455,64,Yes,46,Detroit,48201,Michigan
High School,Skilled Manual,M,S,No,2,0,0,43857,64,No,46,Mesa,85201,Arizona
Partial College,Skilled Manual,M,M,Yes,1,0,0,50046,71,No,46,Bakersfield,93301,California
Partial College,Skilled Manual,M,M,Yes,2,0,0,91276,77,No,46,Oakland,94601,California
Partial High School,Clerical,M,M,Yes,2,1,2,24334,70,No,79,Louisville,40201,Kentucky
Partial College,Clerical,M,S,No,2,0,2,61905,63,No,78,Washington,20001,DC
Partial College,Clerical,M,M,Yes,2,0,2,49349,76,No,78,Charlotte,28201,North Carolina
Partial College,Clerical,F,M,Yes,2,0,2,44068,43,No,78,El Paso,79901,Texas
High School,Skilled Manual,F,M,Yes,2,0,4,18843,43,No,77,Chicago,60601,Illinois
High School,Skilled Manual,F,M,Yes,2,0,4,15861,42,No,77,Baltimore,21201,Maryland
High School,Skilled Manual,M,M,Yes,2,0,4,35822,58,No,77,Los Angeles,90001,California
High School,Skilled Manual,F,M,Yes,2,0,4,29017,39,No,77,Stockton,95201,California
Partial High School,Clerical,F,M,Yes,2,1,2,11721,50,No,76,Anchorage,99501,Alaska
Partial College,Skilled Manual,F,M,Yes,2,0,0,84890,52,No,46,Lexington,40502,Kentucky
Partial High School,Clerical,F,S,No,2,0,0,48651,46,No,47,Bakersfield,93301,California
